"leaguage_id","home_team_id","away_team_id","season_id","home_sum_pkt_home_away_last_5","home_total_rows_home_away_last_5","away_sum_pkt_home_away_last_5","away_total_rows_home_away_last_5","sum_pkt_home_all","total_rows_home_all","sum_pkt_away_all","total_rows_away_all","sum_pkt_home_last_5","total_rows_home_last_5","sum_pkt_away_last_5","total_rows_away_last_5","type_1","type_0","type_2","type_10","type_02","type_12","home_value","home_players","away_value","away_players","ht_home_score","ht_away_score","ft_home_score","ft_away_score","ht_points","ft_points","bts","goals_2_5","tg"
6,4,10,1,9,5,6,5,3,3,3,3,3,3,3,3,4.5,3.6,1.88,2.0,1.24,1.33,7600000.00,32,22330000.00,29,0,2,1,2,0,0,1,1,3
6,5,17,1,9,5,9,5,3,4,6,4,3,4,6,4,1.63,4.3,5.4,1.18,2.39,1.25,34500000.00,30,7950000.00,25,0,0,2,0,1,3,0,0,2
6,9,8,1,6,5,6,5,3,2,0,3,3,2,0,3,1.78,3.65,5.1,1.2,2.13,1.32,14100000.00,30,11130000.00,32,1,1,2,1,1,3,1,1,3
6,15,2,1,3,5,6,5,9,3,3,2,9,3,3,2,2.16,3.45,3.6,1.33,1.76,1.35,10680000.00,30,8550000.00,28,1,0,1,1,3,1,1,0,2
6,16,18,1,12,5,6,5,0,3,6,4,0,3,6,4,2.3,3.15,3.1,1.33,1.56,1.32,8950000.00,29,11750000.00,36,1,1,2,2,1,1,1,1,4
6,17,1,1,6,5,6,5,3,3,3,3,3,3,3,3,2.6,3.15,2.75,1.42,1.47,1.34,7950000.00,25,12930000.00,33,1,0,2,0,3,3,0,0,2
6,14,6,1,6,5,6,5,3,4,3,4,3,4,3,4,2.36,3.4,3.15,1.39,1.63,1.35,11180000.00,34,14300000.00,27,0,1,2,1,0,3,1,1,3
6,11,15,1,9,5,0,5,3,4,6,4,3,4,6,4,2.3,3.4,3.25,1.37,1.66,1.35,8000000.00,31,10680000.00,30,1,0,2,0,3,3,0,0,2
6,2,9,1,3,5,3,5,3,4,3,4,3,4,3,4,2.52,3.3,2.97,1.43,1.56,1.36,8550000.00,28,14100000.00,30,2,2,3,3,1,1,1,1,6
6,8,4,1,3,5,12,5,3,3,6,4,3,3,6,4,2.11,3.45,3.67,1.31,1.78,1.34,11130000.00,32,7600000.00,32,1,0,2,2,3,1,1,1,4
6,10,5,1,9,5,6,5,9,4,3,2,9,4,3,2,2.45,3.35,3.03,1.42,1.59,1.36,22330000.00,29,34500000.00,30,1,1,2,2,1,1,1,1,4
6,12,7,1,6,5,6,5,9,4,6,4,9,4,6,4,1.95,3.6,4.07,1.26,1.91,1.32,34050000.00,33,20630000.00,28,1,0,4,0,3,3,0,1,4
6,3,13,1,3,5,6,5,6,4,6,4,6,4,6,4,1.86,3.75,4.31,1.26,2.01,1.32,10450000.00,35,5850000.00,28,3,0,4,0,3,3,0,1,4
6,9,14,1,3,5,6,5,6,3,3,4,6,3,3,4,1.9,3.6,4.21,1.26,1.94,1.33,14100000.00,30,10780000.00,33,1,1,1,1,1,1,1,0,2
6,7,8,1,9,5,3,5,9,4,0,4,9,4,0,4,1.62,4.15,5.69,1.17,2.4,1.27,20630000.00,28,11130000.00,33,2,2,3,2,1,3,1,1,5
6,13,17,1,6,5,6,5,6,4,6,5,6,4,6,5,2.55,3.35,2.94,1.45,1.57,1.37,6100000.00,29,7700000.00,26,0,0,0,3,1,0,0,1,3
6,6,3,1,3,5,0,5,0,3,0,4,0,3,0,4,2.52,3.42,2.9,1.45,1.57,1.35,14300000.00,27,10750000.00,36,0,1,2,2,0,1,1,1,4
6,12,11,1,9,5,6,5,12,5,6,4,12,5,6,4,1.53,4.4,6.55,1.15,2.63,1.26,31900000.00,28,8000000.00,31,1,0,3,0,3,3,0,1,3
6,1,10,1,6,5,6,5,9,5,6,4,9,5,6,4,2.73,3.25,2.8,1.48,1.5,1.38,13530000.00,35,22330000.00,29,0,0,1,1,1,1,1,0,2
6,4,2,1,9,5,3,5,3,4,3,3,3,4,3,3,3.11,3.35,2.4,1.61,1.4,1.36,7600000.00,32,8750000.00,28,1,1,1,2,1,0,1,1,3
6,18,15,1,6,5,0,5,0,4,6,5,0,4,6,5,2.18,3.62,3.32,1.36,1.73,1.32,12000000.00,36,11050000.00,32,1,1,2,1,1,3,1,1,3
6,16,5,1,9,5,6,5,0,4,3,3,0,4,3,3,5.57,3.8,1.7,2.26,1.19,1.32,8950000.00,28,34500000.00,30,0,0,0,1,1,0,0,0,1
6,11,1,1,9,5,3,5,6,5,3,4,6,5,3,4,2.46,3.22,3.1,1.39,1.58,1.37,8000000.00,31,13530000.00,35,0,1,0,2,0,0,0,0,2
